"T85. Volume of beer Imports, 1961 to 2013 (KL)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,France,Italy,Portugal,Spain,Austria,Bel-Lux,Denmark,Finland,Germany,Greece,Ireland,Netherlands,Sweden,Switzerland,United Kingdom,Other WEM,Bulgaria,Croatia,Georgia,Hungary,Moldova,Romania,Russia,Ukraine,Other ECA,Australia,New Zealand,Canada,United States,Argentina,Brazil,Chile,Mexico,Uruguay,Other LAC,Algeria,Morocco,South Africa,Tunisia,Turkey,Other AME,China,Hong Kong,India,Japan,Korea,Malaysia,Philippines,Singapore,Taiwan,Thailand,Other Asia Pacific,Other,World,,Coeff. of variation
1961,24602,10221,588,693,2426,42985,10,48,24253,346,3564,14141,3419,2083,255462,1192,1500,,,12000,,20000,,,2131,300,104,1696,52225,234,0,463,0,0,18835,50000,3285,1416,766,0,91603,5450,5000,144,315,0,33318,0,10000,0,301,24202,,742445,,2.61
1962,34185,13164,489,788,3204,50146,219,61,32205,576,4766,16927,3881,2444,235405,1181,2000,,,12771,,20000,,,3292,298,14,1706,58989,239,0,153,0,0,19219,29000,2046,1677,816,0,107363,7682,7225,85,250,0,28971,105,9463,0,1118,24324,,757612,,2.44
1963,42708,16487,352,1215,3687,62121,259,33,41939,737,6335,20237,6343,2747,231447,908,1525,,,6897,,20000,,,3400,378,72,1727,64269,15,0,9,0,0,18160,9000,1482,1757,402,0,84783,12086,11440,126,430,10,19888,70,12139,1,970,22962,,738362,,2.40
1964,56196,16185,383,1705,4899,67516,311,1034,49143,798,7527,20245,6693,3564,245312,1928,2929,,,6073,,20000,,,986,286,78,2340,79119,2,3,1,0,0,17299,3000,1386,2252,392,0,89202,15412,14668,60,419,36,21629,76,10461,2,1167,22295,,803427,,2.37
1965,62114,16555,460,1579,5423,72051,9445,365,47785,1204,5757,18941,18320,4656,231831,2444,4162,,,5009,,16000,,,2643,144,89,2501,75804,0,24,0,0,0,18221,3000,1205,2618,349,0,72922,20884,19898,85,886,68,19454,41,8965,4,1029,24764,,811134,,2.23
1966,71951,20057,464,1790,8505,71820,462,332,54659,1319,6109,21609,23669,5398,240127,2392,7641,,,11008,,15000,,,1601,192,83,2743,80585,8,16,1,0,0,18466,3000,1097,2793,65,0,66068,27810,26325,15,495,25,9360,59,9611,400,10257,24476,,859894,,2.18
1967,84788,20827,297,1936,9022,73312,287,411,55002,1547,4110,15486,29467,7195,250561,2633,7327,,,33084,,14000,,,2646,290,92,5316,79638,4,70,1,0,0,19021,1000,1236,2341,41,0,61877,20429,17889,73,719,66,8222,103,11740,1349,332,26298,,898432,,2.21
1968,97805,21125,303,2766,10133,70945,307,260,50022,1538,3866,15377,40218,8836,264564,2528,11705,,,44336,,14000,,,4256,330,86,4683,92484,7,372,21,0,0,22803,0,1600,2830,71,0,60218,29673,22444,12,641,49,7557,95,11708,6098,517,29823,,969904,,2.14
1969,112240,23756,325,3795,11256,67332,275,1460,48066,1676,3240,17991,46245,10237,262962,2734,10773,,,68313,,13000,,,5410,537,87,4374,94738,12,416,14,0,0,31255,0,1893,2624,161,0,57771,27822,25320,11,640,19,6813,41,13531,243,453,32750,,1020456,,2.07
1970,118480,29605,345,3265,19316,74116,3792,641,52676,1642,3543,20431,36419,12478,281911,3154,8532,,,114103,,12000,,,3900,685,89,5571,105628,21,445,39,0,0,34107,0,2959,2564,66,0,51569,33890,32025,31,1514,36,4900,28,14909,400,525,39757,,1136648,,2.03
