"T46 Volume of spirits consumption, 1835 to 2016 (KL of alcohol)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,France,Italy,Portugal,Spain,Austria,Bel-Lux,Denmark,Finland,Germany,Greece,Ireland,Netherlands,Sweden,Switzerland,United Kingdom,Other WEM,Bulgaria,Croatia,Georgia,Hungary,Moldova,Romania,Russia,Ukraine,Other ECA,Australia,New Zealand,Canada,United States,Argentina,Brazil,Chile,Mexico,Uruguay,Other LAC,Algeria,Morocco,South Africa,Tunisia,Turkey,Other AME,China,Hong Kong,India,Japan,Korea,Malaysia,Philippines,Singapore,Taiwan,Thailand,Other Asia Pacific,Other,World,,Coeff. of variation,Norway,,,,,,,,,
1835,,,,,,,,,,,,,,,"134,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,,,,,,,,,,,,,,,"142,574",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,,,,,,,,,,,,,,,"131,464",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,,,,,,,,,,,,,,,"140,270",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1839,,,,,,,,,,,,,,,"132,819",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1840,,,,,,,,,,,,,,,"115,939",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1841,,,,,,,,,,,,,,,"109,588",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1842,,,,,,,,,,,,,,,"100,209",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,,,,,,,,,,,,,,,"100,132",,,,,,,,,,,"1,612",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37,,,,,,,,,,
1844,,,,,,,,,,,,,,,"108,433",,,,,,,,,,,"1,054",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39,,,,,,,,,,
1845,,,,,,,,,,,,,,,"121,258",,,,,,,,,,,"1,458",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38,,,,,,,,,,
1846,,,,,,,,,,,,,,,"128,891",,,,,,,,,,,"2,516",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36,,,,,,,,,,
1847,,,,,,,,,,,,,,,"111,575",,,,,,,,,,,"4,050",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.32,,,,,,,,,,
1848,,,,,,,,,,,,,,,"121,972",,,,,,,,,,,"3,279",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.34,,,,,,,,,,
