"T16 Volume of wine imports, 1835 to 2016 (KL)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,France,Italy,Portugal,Spain,Austria,Bel-Lux,Denmark,Finland,Germany,Greece,Ireland,Netherlands,Sweden,Switzerland,United Kingdom,Other WEM,Bulgaria,Croatia,Georgia,Hungary,Moldova,Romania,Russia,Ukraine,Other ECA,Australia,New Zealand,Canada,United States,Argentina,Brazil,Chile,Mexico,Uruguay,Other LAC,Algeria,Morocco,South Africa,Tunisia,Turkey,Other AME,China,Hong Kong,India,Japan,Korea,Malaysia,Philippines,Singapore,Taiwan,Thailand,Other Asia Pacific,Other,World,,Coeff. of variation,,Norway
1835,216,,,,,,,,,,,,,,"41,094",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
1836,282,,,,,,,,,,,,,,"42,761",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
1837,278,,,,,,,,,,,,,,"36,521",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
1838,292,,,,,,,,,,,,,,"38,726",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
1839,366,,,,,,,,,,,,,,"45,047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
1840,262,,,,,,,,,,,,,,"42,329",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
1841,393,,,,,,,,,,,,,,"35,043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
1842,413,,,,"22,510",,,,,,,,,,"32,805",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
1843,443,,,,,,,,,,,,,,"30,945",,,,,,,,,,,"2,251",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
1844,340,,,,"21,544",,,,,,,,,,"39,026",,,,,,,,,,,699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
1845,361,,,,,,,,"12,958",,,,,,"38,504",,,,,,,,,,,"1,624",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
1846,430,,,,,,,,"15,109",,,,,,"35,056",,,,,,,,,,,"2,210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
1847,386,,,,,,,,"12,519",,,,,,"36,069",,,,,,,,,,,"2,009",,,,,,,,,,"31,961",,,,,,,,,,,,,,,,,,,,1,,
1848,231,,,,,,,,"9,061",,,,,,"34,489",,,,,,,,,,,"3,389",,,,,,,,,,"39,439",,,,,,,,,,,,,,,,,,,,1,,
