Country,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
France,"337,700","371,700","391,600","406,000","432,400","323,500","416,600","459,300","424,400","455,200","469,800","500,700","410,500","361,800","377,500","404,600","444,200","451,400","504,100","494,800","568,400","644,500","708,600","679,700","669,600","656,900","689,500","708,100","706,900","722,400","770,000","809,400","704,500","736,600","756,800","653,100","690,000","740,100","766,000","756,600","759,600","785,900","803,400","789,900","765,800","857,700","901,200","860,300","900,800","885,500","831,500","824,100","843,700","810,000","856,900","863,900","843,500","909,900","906,900","856,600","893,400","905,100","928,200","960,000","1,043,700","1,079,000","1,047,400","1,045,100","1,098,900","1,143,800","1,075,700","1,164,500","1,139,200","1,178,800","1,138,500","1,227,200","1,438,400","1,207,800","1,285,900","904,600","580,700","790,500","709,900","439,600","670,000","790,900","970,000","1,079,200","1,205,300","1,210,100","1,172,300","1,090,500","1,143,000","1,294,300","1,393,800","1,455,800","1,477,700","1,410,800","1,423,700","1,336,000","1,206,500","1,130,900","1,184,400","1,184,400",,,,,,,,,,,,"926,892","895,816","993,232","1,022,133","1,060,492","1,207,151","1,241,465","1,471,955","1,734,852","1,803,644","1,649,074","1,950,471","1,433,965","1,982,215","2,249,120","2,169,530","2,260,189","2,299,535","2,270,495","2,328,436","2,387,384","2,443,653","2,372,351","2,638,788","2,635,941","2,695,041","2,934,481","2,792,872","2,753,942","2,779,645","2,718,899","2,716,496","2,709,406","2,715,944","2,580,011","2,520,210","2,544,654","2,463,960","2,505,197","2,630,576","2,693,378","2,641,813","2,691,605","2,579,984","2,604,052","2,597,079","2,634,390","2,477,528","2,591,329","2,619,147","2,294,883","2,386,983","2,514,499","2,575,950","2,536,721","2,622,255","2,753,158","2,654,762","2,554,131","2,568,268","2,592,222","2,486,088","2,498,034","2,152,235","2,670,782","2,543,245","2,599,264","2,666,518","2,764,000"
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,233","11,622","12,736","13,126","12,196","14,419","16,783","14,531","17,492","13,775","15,763","15,622","13,240","9,920","9,386","9,550","11,487","10,694","10,949","13,270","14,502","16,349","16,219","17,641","21,719","21,957","30,463","35,992","44,749","54,780","56,719","59,832","72,146","67,291","65,228","52,560","60,002","61,964","41,134","50,451","94,910","115,702","136,944","118,751","146,522","128,103","121,825","129,572","98,252","112,730","90,219","67,232","43,309","42,225","37,237","28,905","49,745","57,690","61,267","70,870","82,954","81,468","63,267","29,914",,"34,685","69,644","89,795","91,852","89,211","119,976","138,298","116,704","147,877","134,218","141,098","153,431","167,580","169,747","195,884","207,109","248,889","336,813","415,889","462,467","475,445","496,753","570,040","608,870","630,191","651,830","673,863","660,656","729,203","956,150","909,570","786,928","878,345","867,193","933,217","1,058,224","1,047,491","1,135,105","1,302,929","1,324,209","1,203,743","1,396,902","1,468,042","1,478,065","1,477,784","1,371,970","1,579,919","1,565,909","1,627,856","1,585,190","1,658,795","1,611,852","1,530,930","1,623,972","1,716,053","1,730,867","1,801,932","1,862,863","1,811,440","1,936,013","1,905,357","1,918,669","1,952,723","2,008,841","1,898,213","1,809,409","1,880,080","1,917,915","1,935,709","1,946,879","1,981,668","1,845,124","1,871,902","1,905,208","1,936,356"
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"42,672","38,374","55,809","56,054","71,940","87,437","93,162","104,995","139,595","141,900","170,398","281,069","335,274","343,814","320,595","342,652","425,633","419,927","408,888","474,540","405,651","416,460","382,687","410,336","418,479","508,092","573,831","690,970","735,431","718,858","718,861","701,548","701,873","737,805","721,075","717,374","726,529","719,594","743,892","723,178","709,073","699,761","701,584","730,837","744,573","751,113","740,085","715,327","690,597","673,572","621,899","560,811","555,067","529,365","527,283","541,713","573,064","586,926"
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"500,000","526,689","642,482","760,771","829,832","947,907","1,105,524","1,212,539","1,190,861","1,444,877","1,356,486","1,382,083","1,649,035","1,731,554","1,864,256","1,920,710","1,909,597","2,150,123","2,241,369","2,246,349","2,330,621","2,410,526","2,485,132","2,508,628","2,604,432","2,653,066","2,869,132","2,960,203","3,074,096","3,120,030","3,105,248","3,089,097","2,890,668","2,911,153","2,936,108","2,912,671","2,947,079","2,957,389","3,063,099","3,175,633","3,371,992","3,183,943","3,420,897","3,450,543","3,825,328","3,958,371","3,914,655","3,785,496","3,832,213","4,304,827","3,923,722","3,912,597","3,883,538","3,747,295","3,850,756","3,979,979","4,126,125","4,183,689"
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,156,000","1,230,000","1,221,300","1,247,900","1,305,000","1,348,200","1,452,000","1,551,900","1,567,400","1,632,100","1,764,500","1,808,300","1,826,400","1,879,200","1,907,200","1,902,600","1,862,600","1,816,100","1,870,500","1,793,500","1,915,400","1,967,900","2,065,500","1,866,000","1,996,300","2,117,000","2,130,800","1,936,500",,,,,,,"277,100","343,100","237,800","375,700","459,900","516,500","545,000","506,300","535,700","521,600","507,800","397,500","308,100","229,500","242,200",,,,,,,,,,,,,,,,,,,,,,,,,,,"598,393","637,320","676,638","740,683","742,656","807,212","809,995","848,507","799,116","813,481","830,202","887,640","895,892","914,557","865,454","882,814","889,259","881,717","860,246","866,635","874,332","894,732","924,743","943,667","921,577","994,854","958,405","978,483","998,635","1,040,603","1,053,175","1,093,106","1,055,827","1,014,009","1,015,166","1,002,382","990,664","1,009,655","1,014,712","1,019,541","994,433","968,047","971,120","1,019,969","927,526","1,027,371","985,318","989,451","962,099","969,774","971,911","1,004,908","972,481","1,013,996","920,305","921,031","923,890","926,827"
Bel-Lux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"951,100","959,600","1,027,600","1,026,600","1,071,400","1,084,300","1,083,100","1,099,000","1,146,000","1,164,000","1,231,600","1,287,200","1,331,000","1,384,000","1,442,600","1,476,300","1,480,900","1,457,900","1,496,000","1,548,500","1,591,800","1,659,600","1,649,000","1,615,500","1,558,600","1,628,200","1,729,900","1,689,900","1,707,800",,,,,"962,700","1,056,200","1,269,300","1,581,800","1,463,100","1,502,900","1,479,700","1,407,400","1,336,300","1,507,400","1,554,400","1,688,000","1,857,900","1,570,800","1,477,600","1,480,600","1,419,400","1,446,800",,,,,,,,,,,,,,,,,,,,,,,,,,"1,340,000","1,360,000","1,382,098","1,447,151","1,409,880","1,416,224","1,477,521","1,495,026","1,560,529","1,638,176","1,617,437","1,665,742","1,779,891","1,664,257","1,637,795","1,730,878","1,642,311","1,583,875","1,591,013","1,659,797","1,575,631","1,682,139","1,626,280","1,604,217","1,541,249","1,528,185","1,544,314","1,514,854","1,471,486","1,550,506","1,438,170","1,455,321","1,422,658","1,385,066","1,362,412","1,336,514","1,320,859","1,292,886","1,320,968","1,342,383","1,333,911","1,345,050","1,364,430","1,332,670","1,370,471","1,280,231","1,199,970","1,170,639","1,157,670","1,184,497","1,162,335","1,147,781","1,389,990","1,495,845","1,468,790","1,437,742","1,399,051","1,372,266"
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"201,600","213,500","224,300","228,900","242,900","244,900","242,700","239,200","236,400","241,000","243,800","249,700","245,500","251,900","233,600","247,300","255,100","232,700","235,900","239,300","225,900","236,900","23,100","171,700","212,900","263,300","239,400","205,100","211,500","214,800","228,800","215,700","198,800","190,800","198,400","213,700","206,600","189,500","189,900","203,200",,,,,,,,,,,,,,,,,,,,,,,,,,,"386,670","392,982","408,120","439,226","415,046","472,929","491,688","510,073","555,530","594,059","559,272","599,896","633,623","627,497","660,735","669,718","657,735","664,668","684,971","692,278","712,505","731,915","761,727","737,415","689,886","715,912","672,802","684,613","703,712","706,233","689,000","694,979","693,048","703,082","698,608","688,131","667,825","619,092","602,984","557,020","539,899","532,419","532,882","498,438","496,403","484,840","472,303","448,779","413,116","390,391","387,558","364,534","362,050","387,536","365,004","380,232","376,201","377,015"
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"92,205","109,277","106,353","107,624","108,859","114,342","107,043","108,100","100,275","109,868","110,740","96,648","93,561","98,633","100,633","117,997","129,917","140,607","153,847","220,104","207,571","216,365","239,753","246,817","261,857","253,943","257,083","263,935","263,143","269,814","275,939","276,742","272,229","279,923","292,556","305,498","326,311","343,302","375,284","404,844","427,360","433,595","442,420","428,283","416,702","411,495","408,430","417,869","408,049","406,328","401,416","413,029","420,511","416,224","464,883","472,845","477,235","489,320","472,301","466,532","461,713","459,838","438,440","442,022","433,021","423,926","421,407","418,038","413,256"
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,760,800","4,174,100","4,370,500","4,433,600","4,901,400","4,952,800","4,993,900","5,157,100","5,236,600","5,220,000","5,719,900","5,806,600","6,257,700","6,410,700","6,556,000","6,659,300","6,694,100","6,368,600","6,494,700","6,600,400","6,827,800","6,871,400","6,928,900","6,673,300","6,346,500","6,413,000","6,998,700","6,748,600","6,881,800","5,907,300","4,602,100","3,702,400","2,387,600","2,495,700","2,940,700","2,339,900","3,358,800","3,069,000","2,777,300","3,775,800","4,721,500","4,796,200","5,117,300","5,455,600","5,761,400","4,810,200","3,675,700","3,332,600","3,392,400","3,666,600","3,951,400","3,960,100",,,,,,,,,,,,,,,,,,,,,,,,,"8,238,823","8,774,030","9,317,630","10,115,631","10,215,558","10,594,494","10,684,488","10,872,505","11,804,115","12,112,025","12,542,283","12,712,155","12,893,837","12,912,933","12,898,736","13,069,549","12,836,438","12,532,634","12,503,474","12,673,523","12,812,315","12,926,815","12,948,650","12,552,958","12,564,275","12,627,523","12,404,852","12,344,714","12,457,444","12,620,854","12,076,201","12,356,408","11,315,715","11,551,688","11,449,946","11,150,190","11,102,952","10,780,153","11,653,007","11,065,540","10,395,530","10,368,688","10,033,549","10,121,732","10,107,569","10,357,070","10,159,086","10,077,133","9,929,361","9,743,337","9,776,576","9,667,752","9,565,271","9,522,005","9,455,033","9,548,970","9,395,439","9,698,206"
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300,000","310,000","325,370","318,121","347,324","351,496","348,866","349,609","359,599","363,936","144,356","377,623","382,607","319,082","194,351","296,070","218,903","273,557","324,940","281,393","321,312","321,042","317,542","342,989","366,664","384,707","397,774","433,780","429,574","451,275","455,562","459,724","484,049","487,247","464,384","453,562","454,467","490,549","502,989","477,719","469,568","477,162","452,416","429,728","428,911","437,060","443,604","443,107","417,097","389,794","385,793","387,072","385,710","381,582","373,814","369,770","369,552","382,494"
