Quality,Country,Year,Cases
Standard,United States,1990,243000
Standard,United States,1991,214000
Standard,United States,1992,219500
Standard,United States,1993,225000
Standard,United States,1994,239500
Standard,United States,1995,249000
Standard,United States,1996,259000
Standard,United States,1997,279500
Standard,United States,1998,296750
Standard,United States,1999,322000
Standard,United States,2000,343750
Standard,United States,2001,371250
Standard,United States,2002,398750
Standard,United States,2003,443500
Standard,United States,2004,500250
Standard,United States,2005,572500
Standard,United States,2006,682250
Standard,United States,2007,803000
Standard,United States,2008,975500
Standard,United States,2009,1099250
Standard,United States,2010,1337600
Standard,United States,2011,1652250
Standard,United States,2012,1989750
Standard,United States,2013,2365000
Standard,United States,2014,2463750
Standard,United States,2015,2893250
Standard,United States,2016,3337500
Standard,Ireland,1990,537500
Standard,Ireland,1991,546000
Standard,Ireland,1992,513000
Standard,Ireland,1993,524500
Standard,Ireland,1994,526000
Standard,Ireland,1995,517500
Standard,Ireland,1996,536350
Standard,Ireland,1997,545050
Standard,Ireland,1998,546000
Standard,Ireland,1999,583100
Standard,Ireland,2000,586350
Standard,Ireland,2001,584650
Standard,Ireland,2002,564900
Standard,Ireland,2003,475400
Standard,Ireland,2004,472950
Standard,Ireland,2005,471400
Standard,Ireland,2006,470500
Standard,Ireland,2007,473400
Standard,Ireland,2008,448000
Standard,Ireland,2009,404400
Standard,Ireland,2010,404300
Standard,Ireland,2011,426100
Standard,Ireland,2012,484450
Standard,Ireland,2013,468800
Standard,Ireland,2014,413870
Standard,Ireland,2015,434600
Standard,Ireland,2016,444200
Standard,France,1990,92000
Standard,France,1991,118000
Standard,France,1992,137000
Standard,France,1993,151000
Standard,France,1994,161000
Standard,France,1995,181000
Standard,France,1996,225000
Standard,France,1997,255000
Standard,France,1998,289000
Standard,France,1999,327000
Standard,France,2000,340000
Standard,France,2001,393000
Standard,France,2002,399500
Standard,France,2003,398000
Standard,France,2004,398000
Standard,France,2005,379000
Standard,France,2006,379750
Standard,France,2007,370250
Standard,France,2008,370000
Standard,France,2009,353000
Standard,France,2010,380000
Standard,France,2011,376000
Standard,France,2012,365250
Standard,France,2013,364000
Standard,France,2014,364000
Standard,France,2015,358250
Standard,France,2016,345250
Standard,South Africa,1990,7000
Standard,South Africa,1991,6500
Standard,South Africa,1992,7000
Standard,South Africa,1993,8000
Standard,South Africa,1994,9500
Standard,South Africa,1995,11500
Standard,South Africa,1996,20500
Standard,South Africa,1997,24750
Standard,South Africa,1998,26250
Standard,South Africa,1999,29500
Standard,South Africa,2000,30250
Standard,South Africa,2001,34000
Standard,South Africa,2002,36500
Standard,South Africa,2003,40500
Standard,South Africa,2004,62000
Standard,South Africa,2005,87500
Standard,South Africa,2006,131000
Standard,South Africa,2007,168000
Standard,South Africa,2008,195000
Standard,South Africa,2009,200500
Standard,South Africa,2010,208000
Standard,South Africa,2011,209500
Standard,South Africa,2012,211250
Standard,South Africa,2013,229000
Standard,South Africa,2014,243750
Standard,South Africa,2015,278750
Standard,South Africa,2016,308250
Standard,Russia,1990,0
Standard,Russia,1991,750
Standard,Russia,1992,1250
Standard,Russia,1993,2750
Standard,Russia,1994,3500
Standard,Russia,1995,5000
Standard,Russia,1996,6000
Standard,Russia,1997,9000
Standard,Russia,1998,8000
Standard,Russia,1999,6000
Standard,Russia,2000,7500
Standard,Russia,2001,10000
Standard,Russia,2002,12000
Standard,Russia,2003,14000
Standard,Russia,2004,21500
Standard,Russia,2005,37800
Standard,Russia,2006,59250
Standard,Russia,2007,97750
Standard,Russia,2008,136750
Standard,Russia,2009,124650
Standard,Russia,2010,171500
Standard,Russia,2011,292600
Standard,Russia,2012,345200
Standard,Russia,2013,367600
Standard,Russia,2014,427500
Standard,Russia,2015,277700
Standard,Russia,2016,280250
Standard,Germany,1990,80000
Standard,Germany,1991,85000
Standard,Germany,1992,98000
Standard,Germany,1993,89000
Standard,Germany,1994,96500
Standard,Germany,1995,84500
Standard,Germany,1996,91750
Standard,Germany,1997,90000
Standard,Germany,1998,92750
Standard,Germany,1999,99500
Standard,Germany,2000,107100
Standard,Germany,2001,112950
Standard,Germany,2002,113200
Standard,Germany,2003,118400
Standard,Germany,2004,137300
Standard,Germany,2005,135650
Standard,Germany,2006,136550
Standard,Germany,2007,146000
Standard,Germany,2008,168000
Standard,Germany,2009,165300
Standard,Germany,2010,182200
Standard,Germany,2011,224500
Standard,Germany,2012,246750
Standard,Germany,2013,277500
Standard,Germany,2014,293500
Standard,Germany,2015,285500
Standard,Germany,2016,279000
Standard,United Kingdom,1990,110000
Standard,United Kingdom,1991,110000
Standard,United Kingdom,1992,115000
Standard,United Kingdom,1993,125000
Standard,United Kingdom,1994,140500
Standard,United Kingdom,1995,151000
Standard,United Kingdom,1996,149800
Standard,United Kingdom,1997,163000
Standard,United Kingdom,1998,174000
Standard,United Kingdom,1999,185400
Standard,United Kingdom,2000,196300
Standard,United Kingdom,2001,209750
Standard,United Kingdom,2002,233300
Standard,United Kingdom,2003,238950
