,Unnamed: 0,Country,France,Italy,Portugal,Spain,Austria,Bel-Lux,Denmark,Finland,Germany,Greece,Ireland,Netherlands,Sweden,Switzerland,United Kingdom,Other WEM,Bulgaria,Croatia,Georgia,Hungary,Moldova,Romania,Russia,Ukraine,Other ECA,Australia,New Zealand,Canada,United States,Argentina,Brazil,Chile,Mexico,Uruguay,Other LAC,Algeria,Morocco,South Africa,Tunisia,Turkey,Other AME,China,Hong Kong,India,Japan,Korea,Malaysia,Philippines,Singapore,Taiwan,Thailand,Other Asia Pacific,Other,World,Unnamed: 55,Coeff. of variation,Norway,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63
0,0,1835,"337,700",0,0,0,0,0,0,0,0,0,0,0,0,0,"2,673,101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1.1,0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1836,"371,700",0,0,0,0,0,0,0,0,0,0,0,0,0,"2,786,753",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1.08,0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,1837,"391,600",0,0,0,0,0,0,0,0,0,0,0,0,0,"2,623,094",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1.05,0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,1838,"406,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"2,627,640",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1.04,0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,1839,"432,400",0,0,0,0,0,0,0,0,0,0,0,0,0,"2,650,370",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1.02,0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,1840,"323,500",0,0,0,0,0,0,0,0,0,0,0,0,0,"2,582,179",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1.1,0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,1841,"416,600",0,0,0,0,0,0,0,0,0,0,0,0,0,"2,382,151",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.99,0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,1842,"459,300",0,0,0,0,0,0,0,0,0,0,0,0,0,"2,327,598",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.95,0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,1843,"424,400",0,0,0,0,0,0,0,0,0,0,0,0,0,"2,309,414",0,0,0,0,0,0,0,0,0,0,"25,429",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,"2,759,242",0.0,1.33,0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,1844,"455,200",0,0,0,0,0,0,0,0,0,0,0,0,0,"2,395,789",0,0,0,0,0,0,0,0,0,0,"24,291",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,"2,875,280",0.0,1.32,0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,1845,"469,800",0,0,0,0,0,0,0,0,0,0,0,0,0,"2,427,612",0,0,0,0,0,0,0,0,0,0,"25,010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,"2,922,422",0.0,1.31,0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,1846,"500,700",0,0,0,0,0,0,0,0,0,0,0,0,0,"2,645,824",0,0,0,0,0,0,0,0,0,0,"33,902",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,"3,180,426",0.0,1.31,0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,1847,"410,500",0,0,0,0,0,0,0,0,0,0,0,0,0,"2,400,336",0,0,0,0,0,0,0,0,0,0,"27,991",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,"2,838,827",0.0,1.35,0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,1848,"361,800",0,0,0,0,0,0,0,0,0,0,0,0,0,"2,404,882",0,0,0,0,0,0,0,0,0,0,"29,472",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,"2,796,154",0.0,1.38,0,0.0,0.0,0.0,0.0,0.0,0.0
